XCoord;YCoord;OBJECTID_1;NAME;ADDRESS;PHONE;EMAIL;WEBSITE;BRANCHADDRESS;COMMENT_;HOURS;COUNCIL_NAME
134.74969600;-29.01351200;1;Coober Pedy School Community Library;Paxton Rd, Coober Pedy  5723;8672 4634;library@cooberpedy.sa.edu.au;http://www.cooberpedy.sa.gov.au/site/page.cfm?u=123;NULL;NULL;School terms: Mon - Fri 8.30am - 6pm, Sun 11am - 4pm School holidays: Mon - Fri 12 noon - 6pm, Sun 11am - 4pm;The Dc Of Coober Pedy
136.89655300;-30.56192600;2;Roxby Downs Community Library;Richardson Place, Roxby Downs  5725;8671 0660;roxbydowns.library@plain.sa.gov.au;NULL;NULL;NULL;School term: Mon - Fri 8.30am - 5pm, Sat 9.30am - 12 noon, School holidays: Mon - Fri 9am - 5pm, Sat 9.30am - 12 noon, After hours returns available;Municipal Council Of Roxby Downs
138.42520800;-31.88834500;3;Hawker School Community Library;Arkaba St, Hawker  5434;8648 4184;hawker.library@plain.sa.gov.au;http://www.libraries.sa.gov.au;NULL;NULL;School terms: Mon 8.30am - 5.00pm, Tues, Thurs 10.30am - 5pm, Wed, Fri 8.30am - 4.30pm, School holidays: Mon, Tues, 10.30am - 5pm, Wed, Thurs 1pm - 5pm, Fri CLOSED;The Flinders Ranges Council
138.03235100;-32.34947700;4;Quorn School Community Library;West Tce, Quorn  5433;8648 6705;quorn.library@plain.sa.gov.au;http://www.libraries.sa.gov.au;NULL;NULL;School terms: Mon 8.30am - 4pm, Tues, Fri 8.30am - 6pm, Wed, Thurs 8.30am - 5pm, Sat 10am - 12 noon, School holidays: Tues 10am - 12 noon, 1pm - 6pm, Wed, Thurs 1pm - 5pm, Fri 1pm - 6pm, Sat 10am - 12 noon;The Flinders Ranges Council
133.67306600;-32.13771900;5;Ceduna School Community Library;May Cres, Ceduna  5690;8625 3270;ceduna.library@plain.sa.gov.au;http://www.cedunaas.sa.edu.au/library.htm;NULL;NULL;School terms: Mon, Wed, Fri 8.30am - 4pm, Tues 8.30am - 5.30pm, Thurs 8.30am - 4pm, 7pm - 9pm, Sat 9am - 11am School holidays: Mon, Wed, Thurs 9am - 4pm, Tues 9am - 5.30pm, Sat 9am - 11am Closed for lunch 12.30pm-1.30pm;The Dc Of Ceduna
138.61224900;-32.73047800;6;Orroroo School Community Library;West Tce, Orroroo  5431;8658 1100;rosenblatt.jenny@plain.sa.gov.au;http://www.libraries.sa.gov.au;NULL;NULL;Schol terms: Mon 8.45am - 4pm, Tues, Wed, Fri 8.45am - 5pm, Thurs 8.45am - 7pm School holidays: Tues 11am - 5pm, Wed 1pm - 5pm, Thurs 1pm - 7pm, Fri 10.30am - 5pm;The Dc Of Orroroo Carrieton
134.20660200;-32.79731200;7;Streaky Bay School Community Library;109 Wells St, Streaky Bay  5680;8626 1492;longbottom.lorraine@plain.sa.gov.au;http://www.libraries.sa.gov.au;NULL;NULL;School terms: Mon, Wed, Fri 8.30am - 4pm, Tues, Thurs 8.30am - 6.30pmSchool holidays: Mon, Wed 9am - 12 noon, 1pm - 4pm, Tues 12 noon - 6.30pm, Thurs 4pm - 6.30pm, Fri 12 noon - 4pm;The Dc Of Streaky Bay
138.42797000;-33.05117300;8;Flinders Mobile Library;Booleroo Jamestown Rd, Appila  5480;8673 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;The Dc Of Mount Remarkable
138.35035800;-32.88169600;9;Flinders Mobile Library;Stephens St, Booleroo Centre  5482;8665 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;The Dc Of Mount Remarkable
138.18790200;-32.82473400;10;Flinders Mobile Library;Main North Rd, Melrose   5483;8666 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;The Dc Of Mount Remarkable
